Reporting - Report PO | PIM;;;;;;;;;;;;;;;
Purchase Order No;Supplier Name;Order Date;Delivery Date;Item ID;Item Name;Item Description;Quantity Ordered;Quantity Delivered;Unit Price;Total Cost;Delivery Status;Defect Rate;Category Barang;Approval Time;Procurment Lead Time
0009/PO/CD/IV/2023/CIC/AIMP;Toko Buku Gunung Intan - Jonggol;14-04-2023;28-04-2023;31570;BATERAI;"Baterai A3, 1 kemasan isi 2";"24,00";"24,00";17000;"408.000,00";Finish;0%;PERALATAN KANTOR LAIN;1 Hari;14 Hari
0009/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;06-04-2023;31125;KAWAT PUTIH;Kawat Bendrat Halus;.50;.50;16000;"8.000,00";Finish;0%;MATERIAL KONSTRUKSI;1 Hari;2 Hari
0009/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;06-04-2023;30505;KAWAT SERANGGA;-;"1,00";"1,00";25000;"25.000,00";Finish;0%;HEWAN;1 Hari;2 Hari
0009/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;06-04-2023;31034;LEM PIPA;-;"1,00";"1,00";10000;"10.000,00";Finish;0%;MATERIAL KONSTRUKSI;1 Hari;2 Hari
0009/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;06-04-2023;31035;LEM SEALANT;-;"1,00";"1,00";35000;"35.000,00";Finish;0%;MATERIAL KONSTRUKSI;1 Hari;2 Hari
0009/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;06-04-2023;31024;WATERPROOFING;-;"4,00";"4,00";210000;"840.000,00";Finish;0%;MATERIAL KONSTRUKSI;1 Hari;2 Hari
0010/PO/CD/I/2023/CIC/CI;Toko Pasific Elektronik -  Jonggol;12-01-2023;17-01-2023;31458;AC SPLIT WALL;"Tipe: AH-A9ZCYN,  1 PK";"1,00";"1,00";2950000;"2.950.000,00";Finish;0%;PENGOLAH UDARA - PENDINGIN;6 Hari;5 Hari
0010/PO/CD/II/2023/CIC/CIE;CV. Sanjaya - Bekasi;11-02-2023;06-03-2023;31836;STIKER INFORMASI;"Bahan: Vynil, warna abu2";"500,00";"500,00";1900;"950.000,00";Finish;0%;RUPA - RUPA;3 Hari;23 Hari
0010/PO/CD/III/2023/CIC/MKES;Pinus Design - Cikarang;02-03-2023;13-03-2023;31398;NOMOR RUMAH / RUKO / TOKO;"Dasar acrylic hitam, Font cutting sticker gold, Uk. 20x20cm";"3,00";"3,00";32000;"96.000,00";Finish;0%;MEDIA INFORMASI;1 Hari;11 Hari
0010/PO/CD/IV/2023/CIC/AIMP;PT. MITRA PERSADA SARANA TEKNOLOGI - JAKARTA;24-04-2023;02-06-2023;30782;SOFTWARE COREL DRAW;Corel draw graphics suite 365 day - Subcription;"1,00";"1,00";10810810;"10.810.810,00";Finish;0%;KOMPUTER;1 Hari;39 Hari
0010/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;06-04-2023;30394;AFUR / SARINGAN;-;"1,00";"1,00";25000;"25.000,00";Finish;0%;FURNITURE - DEKORASI;1 Hari;2 Hari
0010/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;06-04-2023;31641;GOLOK / KAPAK;-;"1,00";"1,00";75000;"75.000,00";Finish;0%;PERALATAN KERJA LAPANGAN;1 Hari;2 Hari
0010/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;06-04-2023;31873;KRAN / KERAN AIR;pvc;"3,00";"3,00";35000;"105.000,00";Finish;0%;SANITAIR DAN KAMAR MANDI;1 Hari;2 Hari
